Meal Name,Ingrediants,Cookbook,Chef,Dish Picture
Salmon Teriyaki & Broccolini,Olive oil,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,3 tablespoons soy sauce,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1 + 1/2 tablespoons pure maple syrup,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,2 teaspoons toasted sesame oil,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1 tablespoon minced fresh ginger,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1 tablespoon minced garlic,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1/4 tsp crushed red pepper flakes,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,4 skinless salmon filets,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,Kosher salt and ground pepper,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1 + 1/2 pounds Broccolini,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1 cup rice,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Ravioli en Brodo,Olive oil,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,2 cups diagonally sliced carrots (3-5 carrots),"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,1 + 1/2 cups diced celery,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,1 + 1/2 cups diced fennel,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,Better than bouillon,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,1 Italian parmesean cheese rind,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,1 pound cheese ravioli,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,Italian parmesean cheese,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Penne Alla Vodka Two Ways,4 tbsp salted butter ,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,2 garlic cloves minced or grated,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1/2 tsp crushed red pepper flakes,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1/2 cup vodka,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1 28 oz can tomatoes crushed,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,"1/2 cup sun dried tomatoes packed in olive oil, drained and chopped","Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,Kosher salt and ground pepper,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,3/4 cup heavy cream,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1 lb box penne pasta ,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1 cup grated Parmesean cheese ,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,fresh basil,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Walnut Crusted Chicken,1 lb boneless skinless chicken tenders,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,1/2 cup buttermilk,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,1+1/2 cups finely chopped walnuts,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,2 tbsp whole wheat flower,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,1 tbsp chopped fresh thyme leaves,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,1/2 tsp ground cayenne pepper,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,Kosher salt and ground pepper,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,extra virgin olive oil for brushing,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,1/2 cup honey,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,1 tablespoon Dijon mustard,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,4 ounces Brie cheese cut into small wedges,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Browned Sage Butter Chicken Pop Pie,4 tbsp salted butter ,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 shallot chopped,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,2 tablesppons chopped fresh sage,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 tablesppon fresh thyme leaves,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1/3 cup all purpose flower,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,3 cups low sodium chicken broth,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 cup whole milk,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,Kosher salt and ground pepper,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,6 chopped carrots,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 cup broccoli florets,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 to 2 cup shredded rotisserie chicken,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1/4 cup fresh parsley,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 sheet frozen puff pastry,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 large egg,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Breaded Lemon Chicken,"1+1/2 lbs boneless, skinless, chicken breasts","Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,3 tablespoons extra virgin olive oil,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,zest and juice of 1 lemon,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,Kosher salt and ground pepper,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,1/2 cup all purpose flour,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,3 tablespoons salted butter,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,"1/2 lemon, sliced","Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
Breaded Lemon Chicken,3 cups cherry tomatoes,"Half Baked Harvest, p.174",Tieghan Gerard,https://www.facebook.com/hbharvest/posts/breaded-lemon-pepper-chicken-with-burst-cherry-tomatoes-cover-recipe-from-the-hb/3402919486438389/
